Algorithm,Flow,MeanTime,StdTime,Nodes,Edges,Density
Ford-Fulkerson,132,0.021194934844970703,,200,796,0.02
Edmonds-Karp,132,0.00728917121887207,,200,796,0.02
Dinic,132,0.004841804504394531,,200,796,0.02
Push-Relabel,126,0.0014219284057617188,,200,796,0.02
Capacity-Scaling,132,0.005747318267822266,,200,796,0.02
Greedy-Fattest,132,0.010712862014770508,,200,796,0.02
Ford-Fulkerson,186,0.02247786521911621,,200,1990,0.05
Edmonds-Karp,186,0.008643865585327148,,200,1990,0.05
Dinic,186,0.007765531539916992,,200,1990,0.05
Push-Relabel,295,0.0022954940795898438,,200,1990,0.05
Capacity-Scaling,186,0.005308389663696289,,200,1990,0.05
Greedy-Fattest,186,0.01575016975402832,,200,1990,0.05
Ford-Fulkerson,533,0.12795424461364746,,200,3980,0.1
Edmonds-Karp,533,0.029520273208618164,,200,3980,0.1
Dinic,533,0.007475376129150391,,200,3980,0.1
Push-Relabel,537,0.0013704299926757812,,200,3980,0.1
Capacity-Scaling,533,0.012776374816894531,,200,3980,0.1
Greedy-Fattest,533,0.032982587814331055,,200,3980,0.1
Ford-Fulkerson,879,0.04358267784118652,,200,7960,0.2
Edmonds-Karp,879,0.04188990592956543,,200,7960,0.2
Dinic,879,0.05858254432678223,,200,7960,0.2
Push-Relabel,827,0.0030617713928222656,,200,7960,0.2
Capacity-Scaling,879,0.029583215713500977,,200,7960,0.2
Greedy-Fattest,879,0.12682414054870605,,200,7960,0.2
Ford-Fulkerson,1590,0.05590319633483887,,200,11940,0.3
Edmonds-Karp,1590,0.0727071762084961,,200,11940,0.3
Dinic,1590,0.014403343200683594,,200,11940,0.3
Push-Relabel,1368,0.004976034164428711,,200,11940,0.3
Capacity-Scaling,1590,0.031478166580200195,,200,11940,0.3
Greedy-Fattest,1590,0.21942639350891113,,200,11940,0.3
Ford-Fulkerson,1986,0.0514531135559082,,200,15920,0.4
Edmonds-Karp,1986,0.1531524658203125,,200,15920,0.4
Dinic,1986,0.023166418075561523,,200,15920,0.4
Push-Relabel,2141,0.0065653324127197266,,200,15920,0.4
Capacity-Scaling,1986,0.09372091293334961,,200,15920,0.4
Greedy-Fattest,1986,0.3059966564178467,,200,15920,0.4
Ford-Fulkerson,2249,0.16004657745361328,,200,19900,0.5
Edmonds-Karp,2249,0.20922636985778809,,200,19900,0.5
Dinic,2249,0.023606061935424805,,200,19900,0.5
Push-Relabel,2617,0.008366823196411133,,200,19900,0.5
Capacity-Scaling,2249,0.14713239669799805,,200,19900,0.5
Greedy-Fattest,2249,0.5430500507354736,,200,19900,0.5
