Algorithm,Flow,MeanTime,StdTime,Nodes,Edges,Density
Ford-Fulkerson,305,0.0010874271392822266,,50,625,0.25510204081632654
Edmonds-Karp,305,0.0011472702026367188,,50,625,0.25510204081632654
Dinic,305,0.0010907649993896484,,50,625,0.25510204081632654
Push-Relabel,521,0.0003032684326171875,,50,625,0.25510204081632654
Capacity-Scaling,305,0.0006263256072998047,,50,625,0.25510204081632654
Greedy-Fattest,305,0.0026712417602539062,,50,625,0.25510204081632654
Ford-Fulkerson,631,0.04884815216064453,,100,2500,0.25252525252525254
Edmonds-Karp,631,0.011104822158813477,,100,2500,0.25252525252525254
Dinic,631,0.0048487186431884766,,100,2500,0.25252525252525254
Push-Relabel,740,0.0008635520935058594,,100,2500,0.25252525252525254
Capacity-Scaling,631,0.008446931838989258,,100,2500,0.25252525252525254
Greedy-Fattest,631,0.02514338493347168,,100,2500,0.25252525252525254
Ford-Fulkerson,1255,0.08468914031982422,,200,10000,0.25125628140703515
Edmonds-Karp,1255,0.04638195037841797,,200,10000,0.25125628140703515
Dinic,1255,0.05832195281982422,,200,10000,0.25125628140703515
Push-Relabel,1463,0.003998756408691406,,200,10000,0.25125628140703515
Capacity-Scaling,1255,0.034195661544799805,,200,10000,0.25125628140703515
Greedy-Fattest,1255,0.13947486877441406,,200,10000,0.25125628140703515
Ford-Fulkerson,2125,0.3171563148498535,,400,40000,0.2506265664160401
Edmonds-Karp,2125,0.4756793975830078,,400,40000,0.2506265664160401
Dinic,2125,0.1240546703338623,,400,40000,0.2506265664160401
Push-Relabel,2506,0.07444143295288086,,400,40000,0.2506265664160401
Capacity-Scaling,2125,0.31789374351501465,,400,40000,0.2506265664160401
Greedy-Fattest,2125,1.0030031204223633,,400,40000,0.2506265664160401
Ford-Fulkerson,4840,1.9152278900146484,,800,160000,0.2503128911138924
Edmonds-Karp,4840,2.5870559215545654,,800,160000,0.2503128911138924
Dinic,4840,0.3346731662750244,,800,160000,0.2503128911138924
Push-Relabel,5482,0.31498289108276367,,800,160000,0.2503128911138924
Capacity-Scaling,4840,1.1568076610565186,,800,160000,0.2503128911138924
Greedy-Fattest,4840,8.08091950416565,,800,160000,0.2503128911138924
