Algorithm,Flow,MeanTime,StdTime,Nodes,Edges
Ford-Fulkerson,35,0.0005309581756591797,,50,150
Edmonds-Karp,35,0.0004696846008300781,,50,150
Dinic,35,0.000583648681640625,,50,150
Push-Relabel,20,0.0001423358917236328,,50,150
Capacity-Scaling,35,0.0004649162292480469,,50,150
Greedy-Fattest,35,0.0005974769592285156,,50,150
Ford-Fulkerson,20,0.0010123252868652344,,100,300
Edmonds-Karp,20,0.00040221214294433594,,100,300
Dinic,20,0.0007779598236083984,,100,300
Push-Relabel,22,0.00012683868408203125,,100,300
Capacity-Scaling,20,0.0003528594970703125,,100,300
Greedy-Fattest,20,0.00042128562927246094,,100,300
Ford-Fulkerson,0,0.000545501708984375,,200,600
Edmonds-Karp,0,0.0005347728729248047,,200,600
Dinic,0,0.0003864765167236328,,200,600
Push-Relabel,35,0.00029778480529785156,,200,600
Capacity-Scaling,0,0.000997304916381836,,200,600
Greedy-Fattest,0,0.0006313323974609375,,200,600
Ford-Fulkerson,0,0.0010724067687988281,,400,1200
Edmonds-Karp,0,0.0006127357482910156,,400,1200
Dinic,0,0.0005371570587158203,,400,1200
Push-Relabel,14,0.0008296966552734375,,400,1200
Capacity-Scaling,0,0.0013377666473388672,,400,1200
Greedy-Fattest,0,0.001008749008178711,,400,1200
Ford-Fulkerson,22,0.007112264633178711,,800,2400
Edmonds-Karp,22,0.003899097442626953,,800,2400
Dinic,22,0.06220889091491699,,800,2400
Push-Relabel,0,0.0024111270904541016,,800,2400
Capacity-Scaling,22,0.005067586898803711,,800,2400
Greedy-Fattest,22,0.005723237991333008,,800,2400
Ford-Fulkerson,15,0.011539220809936523,,1200,3600
Edmonds-Karp,15,0.004038810729980469,,1200,3600
Dinic,15,0.01067662239074707,,1200,3600
Push-Relabel,2,0.0016243457794189453,,1200,3600
Capacity-Scaling,15,0.003336668014526367,,1200,3600
Greedy-Fattest,15,0.007565021514892578,,1200,3600
Ford-Fulkerson,22,0.017516374588012695,,1600,4800
Edmonds-Karp,22,0.018472671508789062,,1600,4800
Dinic,22,0.014778375625610352,,1600,4800
Push-Relabel,0,0.002511739730834961,,1600,4800
Capacity-Scaling,22,0.006906032562255859,,1600,4800
Greedy-Fattest,22,0.010429859161376953,,1600,4800
Ford-Fulkerson,5,0.05192875862121582,,2000,6000
Edmonds-Karp,5,0.003997802734375,,2000,6000
Dinic,5,0.009787797927856445,,2000,6000
Push-Relabel,11,0.047510385513305664,,2000,6000
Capacity-Scaling,5,0.005229949951171875,,2000,6000
Greedy-Fattest,5,0.010877132415771484,,2000,6000
