Algorithm,Flow,MeanTime,StdTime,Cmax
Ford-Fulkerson,0,0.0004296302795410156,,10
Edmonds-Karp,0,0.0004305839538574219,,10
Dinic,0,0.0003542900085449219,,10
Push-Relabel,0,0.00029349327087402344,,10
Capacity-Scaling,0,0.0008566379547119141,,10
Greedy-Fattest,0,0.0008378028869628906,,10
Ford-Fulkerson,0,0.00041484832763671875,,100
Edmonds-Karp,0,0.0004553794860839844,,100
Dinic,0,0.0003521442413330078,,100
Push-Relabel,216,0.0002872943878173828,,100
Capacity-Scaling,0,0.001737833023071289,,100
Greedy-Fattest,0,0.0007221698760986328,,100
Ford-Fulkerson,220,0.005565166473388672,,1000
Edmonds-Karp,220,0.0011706352233886719,,1000
Dinic,220,0.0014462471008300781,,1000
Push-Relabel,379,0.0006368160247802734,,1000
Capacity-Scaling,220,0.002763509750366211,,1000
Greedy-Fattest,220,0.0016460418701171875,,1000
Ford-Fulkerson,0,0.00044989585876464844,,5000
Edmonds-Karp,0,0.0004181861877441406,,5000
Dinic,0,0.00035834312438964844,,5000
Push-Relabel,0,0.0004324913024902344,,5000
Capacity-Scaling,0,0.003175020217895508,,5000
Greedy-Fattest,0,0.0007781982421875,,5000
