Algorithm,Flow,MeanTime,StdTime,Nodes,Density
Ford-Fulkerson,186,0.01550912857055664,,200,0.05
Edmonds-Karp,186,0.007316112518310547,,200,0.05
Dinic,186,0.0048940181732177734,,200,0.05
Push-Relabel,295,0.0008375644683837891,,200,0.05
Capacity-Scaling,186,0.0028917789459228516,,200,0.05
Greedy-Fattest,186,0.010382413864135742,,200,0.05
Ford-Fulkerson,533,0.04447031021118164,,200,0.1
Edmonds-Karp,533,0.0301053524017334,,200,0.1
Dinic,533,0.008563041687011719,,200,0.1
Push-Relabel,537,0.0014011859893798828,,200,0.1
Capacity-Scaling,533,0.05254697799682617,,200,0.1
Greedy-Fattest,533,0.04201459884643555,,200,0.1
Ford-Fulkerson,1590,0.12277722358703613,,200,0.3
Edmonds-Karp,1590,0.09049415588378906,,200,0.3
Dinic,1590,0.0574030876159668,,200,0.3
Push-Relabel,1368,0.0056002140045166016,,200,0.3
Capacity-Scaling,1590,0.08034467697143555,,200,0.3
Greedy-Fattest,1590,0.2690308094024658,,200,0.3
Ford-Fulkerson,2249,0.13560104370117188,,200,0.5
Edmonds-Karp,2249,0.2530944347381592,,200,0.5
Dinic,2249,0.03238701820373535,,200,0.5
Push-Relabel,2617,0.011108160018920898,,200,0.5
Capacity-Scaling,2249,0.22568941116333008,,200,0.5
Greedy-Fattest,2249,0.6104764938354492,,200,0.5
