Algorithm,Flow,MeanTime,StdTime,Nodes,Edges,Density
Ford-Fulkerson,132,0.018397092819213867,,200,796,0.02
Edmonds-Karp,132,0.005954742431640625,,200,796,0.02
Dinic,132,0.003473043441772461,,200,796,0.02
Push-Relabel,126,0.0005233287811279297,,200,796,0.02
Capacity-Scaling,132,0.00449061393737793,,200,796,0.02
Greedy-Fattest,132,0.01111602783203125,,200,796,0.02
Ford-Fulkerson,186,0.0250704288482666,,200,1990,0.05
Edmonds-Karp,186,0.009891033172607422,,200,1990,0.05
Dinic,186,0.008624076843261719,,200,1990,0.05
Push-Relabel,295,0.002691507339477539,,200,1990,0.05
Capacity-Scaling,186,0.0050275325775146484,,200,1990,0.05
Greedy-Fattest,186,0.01905226707458496,,200,1990,0.05
Ford-Fulkerson,533,0.02509021759033203,,200,3980,0.1
Edmonds-Karp,533,0.02158522605895996,,200,3980,0.1
Dinic,533,0.0067369937896728516,,200,3980,0.1
Push-Relabel,537,0.0015285015106201172,,200,3980,0.1
Capacity-Scaling,533,0.013364076614379883,,200,3980,0.1
Greedy-Fattest,533,0.033345937728881836,,200,3980,0.1
Ford-Fulkerson,879,0.06380629539489746,,200,7960,0.2
Edmonds-Karp,879,0.04144644737243652,,200,7960,0.2
Dinic,879,0.012225627899169922,,200,7960,0.2
Push-Relabel,827,0.003397703170776367,,200,7960,0.2
Capacity-Scaling,879,0.0292513370513916,,200,7960,0.2
Greedy-Fattest,879,0.1220254898071289,,200,7960,0.2
Ford-Fulkerson,1590,0.05592179298400879,,200,11940,0.3
Edmonds-Karp,1590,0.07414126396179199,,200,11940,0.3
Dinic,1590,0.014059782028198242,,200,11940,0.3
Push-Relabel,1368,0.005349397659301758,,200,11940,0.3
Capacity-Scaling,1590,0.031531572341918945,,200,11940,0.3
Greedy-Fattest,1590,0.21433305740356445,,200,11940,0.3
Ford-Fulkerson,1986,0.05137801170349121,,200,15920,0.4
Edmonds-Karp,1986,0.15334510803222656,,200,15920,0.4
Dinic,1986,0.023407459259033203,,200,15920,0.4
Push-Relabel,2141,0.006528139114379883,,200,15920,0.4
Capacity-Scaling,1986,0.09332776069641113,,200,15920,0.4
Greedy-Fattest,1986,0.2967660427093506,,200,15920,0.4
Ford-Fulkerson,2249,0.16211485862731934,,200,19900,0.5
Edmonds-Karp,2249,0.20884418487548828,,200,19900,0.5
Dinic,2249,0.02365422248840332,,200,19900,0.5
Push-Relabel,2617,0.00872349739074707,,200,19900,0.5
Capacity-Scaling,2249,0.14162421226501465,,200,19900,0.5
Greedy-Fattest,2249,0.5692105293273926,,200,19900,0.5
