Algorithm,Flow,MeanTime,StdTime,Layers,Width,Nodes
Ford-Fulkerson,150,0.0006554126739501953,,3,15,47
Edmonds-Karp,150,0.001247406005859375,,3,15,47
Dinic,150,0.0002598762512207031,,3,15,47
Push-Relabel,150,0.00027441978454589844,,3,15,47
Capacity-Scaling,150,0.0011034011840820312,,3,15,47
Greedy-Fattest,150,0.0023012161254882812,,3,15,47
Ford-Fulkerson,150,0.0009770393371582031,,5,15,77
Edmonds-Karp,150,0.002149343490600586,,5,15,77
Dinic,150,0.0008020401000976562,,5,15,77
Push-Relabel,150,0.0004906654357910156,,5,15,77
Capacity-Scaling,150,0.002211332321166992,,5,15,77
Greedy-Fattest,150,0.02546548843383789,,5,15,77
Ford-Fulkerson,150,0.0015234947204589844,,7,15,107
Edmonds-Karp,150,0.003179311752319336,,7,15,107
Dinic,150,0.0006265640258789062,,7,15,107
Push-Relabel,150,0.0011878013610839844,,7,15,107
Capacity-Scaling,150,0.0032494068145751953,,7,15,107
Greedy-Fattest,150,0.006224632263183594,,7,15,107
