Algorithm,Flow,MeanTime,StdTime,Nodes,Edges
Ford-Fulkerson,35,0.0005335807800292969,,50,150
Edmonds-Karp,35,0.00048542022705078125,,50,150
Dinic,35,0.0006155967712402344,,50,150
Push-Relabel,20,0.0001494884490966797,,50,150
Capacity-Scaling,35,0.0004730224609375,,50,150
Greedy-Fattest,35,0.0005905628204345703,,50,150
Ford-Fulkerson,20,0.0010721683502197266,,100,300
Edmonds-Karp,20,0.0003955364227294922,,100,300
Dinic,20,0.0007817745208740234,,100,300
Push-Relabel,22,0.0001430511474609375,,100,300
Capacity-Scaling,20,0.00035262107849121094,,100,300
Greedy-Fattest,20,0.0004343986511230469,,100,300
Ford-Fulkerson,0,0.0005671977996826172,,200,600
Edmonds-Karp,0,0.00046706199645996094,,200,600
Dinic,0,0.000396728515625,,200,600
Push-Relabel,35,0.00031280517578125,,200,600
Capacity-Scaling,0,0.0009763240814208984,,200,600
Greedy-Fattest,0,0.0006339550018310547,,200,600
Ford-Fulkerson,0,0.001497507095336914,,400,1200
Edmonds-Karp,0,0.0006232261657714844,,400,1200
Dinic,0,0.0005769729614257812,,400,1200
Push-Relabel,14,0.0009517669677734375,,400,1200
Capacity-Scaling,0,0.0014078617095947266,,400,1200
Greedy-Fattest,0,0.0010232925415039062,,400,1200
Ford-Fulkerson,22,0.007477760314941406,,800,2400
Edmonds-Karp,22,0.003993511199951172,,800,2400
Dinic,22,0.04713630676269531,,800,2400
Push-Relabel,0,0.001232147216796875,,800,2400
Capacity-Scaling,22,0.002773284912109375,,800,2400
Greedy-Fattest,22,0.003894329071044922,,800,2400
Ford-Fulkerson,15,0.010368108749389648,,1200,3600
Edmonds-Karp,15,0.003926753997802734,,1200,3600
Dinic,15,0.010771989822387695,,1200,3600
Push-Relabel,2,0.0016286373138427734,,1200,3600
Capacity-Scaling,15,0.003515005111694336,,1200,3600
Greedy-Fattest,15,0.007596731185913086,,1200,3600
Ford-Fulkerson,22,0.01803112030029297,,1600,4800
Edmonds-Karp,22,0.0187680721282959,,1600,4800
Dinic,22,0.015395402908325195,,1600,4800
Push-Relabel,0,0.0026865005493164062,,1600,4800
Capacity-Scaling,22,0.014951944351196289,,1600,4800
Greedy-Fattest,22,0.013944625854492188,,1600,4800
Ford-Fulkerson,5,0.06741666793823242,,2000,6000
Edmonds-Karp,5,0.009123086929321289,,2000,6000
Dinic,5,0.014228343963623047,,2000,6000
Push-Relabel,11,0.05501842498779297,,2000,6000
Capacity-Scaling,5,0.010260581970214844,,2000,6000
Greedy-Fattest,5,0.011031866073608398,,2000,6000
