Algorithm,Flow,MeanTime,StdTime,Nodes,Edges
Ford-Fulkerson,35,0.0008270740509033203,,50,150
Edmonds-Karp,35,0.0007207393646240234,,50,150
Dinic,35,0.0010395050048828125,,50,150
Push-Relabel,20,0.00016021728515625,,50,150
Capacity-Scaling,35,0.0008573532104492188,,50,150
Greedy-Fattest,35,0.0011310577392578125,,50,150
Ford-Fulkerson,20,0.0006020069122314453,,100,300
Edmonds-Karp,20,0.0007426738739013672,,100,300
Dinic,20,0.0014476776123046875,,100,300
Push-Relabel,22,0.00023937225341796875,,100,300
Capacity-Scaling,20,0.0007140636444091797,,100,300
Greedy-Fattest,20,0.0008344650268554688,,100,300
Ford-Fulkerson,0,0.09969162940979004,,200,600
Edmonds-Karp,0,0.00044989585876464844,,200,600
Dinic,0,0.00039124488830566406,,200,600
Push-Relabel,35,0.0006811618804931641,,200,600
Capacity-Scaling,0,0.0011851787567138672,,200,600
Greedy-Fattest,0,0.0007712841033935547,,200,600
Ford-Fulkerson,0,0.001094818115234375,,400,1200
Edmonds-Karp,0,0.0010066032409667969,,400,1200
Dinic,0,0.0011823177337646484,,400,1200
Push-Relabel,14,0.0007028579711914062,,400,1200
Capacity-Scaling,0,0.0022764205932617188,,400,1200
Greedy-Fattest,0,0.0021805763244628906,,400,1200
