Network,Max Flow,Runtime (s),Nodes,Edges
network0,90,9.226799011230469e-05,N/A,N/A
network1,56,0.00011301040649414062,N/A,N/A
network2,87,5.698204040527344e-05,N/A,N/A
network3,84,7.915496826171875e-05,N/A,N/A
network4,54,7.891654968261719e-05,N/A,N/A
network5,69,8.726119995117188e-05,N/A,N/A
network6,94,3.910064697265625e-05,N/A,N/A
network7,88,3.6716461181640625e-05,N/A,N/A
network8,88,5.602836608886719e-05,N/A,N/A
network9,90,9.489059448242188e-05,N/A,N/A
network10,59,5.364418029785156e-05,N/A,N/A
network11,94,7.557868957519531e-05,N/A,N/A
network12,84,5.412101745605469e-05,N/A,N/A
network13,64,5.8650970458984375e-05,N/A,N/A
network14,88,6.914138793945312e-05,N/A,N/A
network15,77,3.147125244140625e-05,N/A,N/A
network16,93,3.552436828613281e-05,N/A,N/A
network17,95,5.1021575927734375e-05,N/A,N/A
network18,66,7.43865966796875e-05,N/A,N/A
network19,89,3.790855407714844e-05,N/A,N/A
network20,85,4.363059997558594e-05,N/A,N/A
network21,61,8.177757263183594e-05,N/A,N/A
network22,69,8.225440979003906e-05,N/A,N/A
network23,59,9.298324584960938e-05,N/A,N/A
network24,51,3.123283386230469e-05,N/A,N/A
network25,82,5.221366882324219e-05,N/A,N/A
network26,55,6.699562072753906e-05,N/A,N/A
network27,74,8.797645568847656e-05,N/A,N/A
network28,66,0.00010418891906738281,N/A,N/A
network29,94,9.655952453613281e-05,N/A,N/A
network30,75,9.393692016601562e-05,N/A,N/A
network31,69,8.249282836914062e-05,N/A,N/A
network32,58,7.963180541992188e-05,N/A,N/A
network33,70,9.226799011230469e-05,N/A,N/A
network34,57,7.653236389160156e-05,N/A,N/A
network35,49,5.459785461425781e-05,N/A,N/A
network36,91,3.7670135498046875e-05,N/A,N/A
network37,66,9.298324584960938e-05,N/A,N/A
network38,45,5.435943603515625e-05,N/A,N/A
network39,82,5.936622619628906e-05,N/A,N/A
network40,79,9.894371032714844e-05,N/A,N/A
network41,72,9.298324584960938e-05,N/A,N/A
network42,23,7.62939453125e-05,N/A,N/A
network43,88,3.8623809814453125e-05,N/A,N/A
network44,92,4.506111145019531e-05,N/A,N/A
network45,92,3.0517578125e-05,N/A,N/A
network46,84,7.557868957519531e-05,N/A,N/A
network47,59,6.413459777832031e-05,N/A,N/A
network48,87,7.605552673339844e-05,N/A,N/A
network49,93,5.316734313964844e-05,N/A,N/A
network50,89,5.91278076171875e-05,N/A,N/A
network51,85,4.696846008300781e-05,N/A,N/A
network52,86,3.0994415283203125e-05,N/A,N/A
network53,73,9.226799011230469e-05,N/A,N/A
network54,84,0.000194549560546875,N/A,N/A
network55,66,0.00010347366333007812,N/A,N/A
network56,74,0.00011086463928222656,N/A,N/A
network57,48,8.344650268554688e-05,N/A,N/A
network58,89,0.00012087821960449219,N/A,N/A
network59,95,6.961822509765625e-05,N/A,N/A
network60,66,6.0558319091796875e-05,N/A,N/A
network61,90,8.96453857421875e-05,N/A,N/A
